name,status,street,city,state,zip,phone,Latitude,Longitude,"Accuracy Score",Street,City,State,County,Zip
"Accents Beauty Organic","Eufora exclusive","20727 Ashburn Road",Ashburn,VA,20147,703-729-7889,39.042967666813,-77.487618199437,1,"20727 Ashburn Rd",Ashburn,VA,"Loudoun County",20147
"Accents Hair Studio","Eufora exclusive","2601 Elmwood Ave",Erie,PA,16502,240-603-8936,42.101313,-80.099618,1,"2601 Elmwood Ave",Erie,PA,"Erie County",16508
"Adagio Salon",,"60 Hall Street",Susanville,CA,96130,530-310-4119,40.4154573125,-120.64731852083,1,"60 Hall St",Susanville,CA,"Lassen County",96130
"Adagio Salon",,"431 N Salina Street",Syracuse,NY,13203,315-422-2144,43.056709530612,-76.152058734694,1,"431 N Salina St",Syracuse,NY,"Onondaga County",13203
"Adam Cole Salon",,"129 Moses Thompson Lane","State College",PA,16801,"(814) 237-5617",40.804932714286,-77.838747571429,1,"129 Moses Thompson Ln","State College",PA,"Centre County",16801
"Adore Salon And Day Spa","Eufora exclusive","195 S Broadway Suite 103",Orcutt,CA,93455,805-938-3335,34.865257,-120.435997,0.27," ",Orcutt,CA,"Santa Barbara County",93455
"Aj Johnson",,"1016 Camenio Carlos Rey","Santa Fe",NM,87507,505-269-1752,35.521181,-105.981847,0.33," ","Santa Fe",NM,"Santa Fe County",87503
"Aja Sierra At Hair First",,"4500 East Speedway Blvd Suite 74",Tucson,AZ,85712,520-323-7222,32.236185333333,-110.89831633333,1,"4500 E Speedway Blvd",Tucson,AZ,"Pima County",85712
"Ak Studio",,"4340 E Kentucky Ave Suite 346",Glendale,CO,80246,303-996-8070,39.700193517588,-104.94006357789,1,"4340 E Kentucky Ave",Denver,CO,"Denver County",80246
"Aka Salon",,"305 Main",Coopersville,MI,44904,616-837-8031,43.06384121875,-85.9355330625,1,"305 Main",Coopersville,MI,"Ottawa County",49404
"Akada Hair Salon","Eufora semi exclusive","1310 Grandview Ave",Columbus,OH,43212,614-488-9967,39.983703346154,-83.044861576923,1,"1310 Grandview Ave",Columbus,OH,"Franklin County",43212
"Alandre Salon And Day Spa",,"20091 Haggerty Rd",Northville,MI,48167,248-449-7500,42.430615915254,-83.433306728814,1,"20091 Haggerty Rd",Northville,MI,"Wayne County",48167
"Alexanders For Hair","Eufora semi exclusive","11515 West Pico Blvd","Los Angeles",CA,90064,310-473-0462,34.032810878049,-118.44332553659,1,"11515 W Pico Blvd","Los Angeles",CA,"Los Angeles County",90064
"Alexis Victoria","Eufora semi exclusive","5 E Citrus Ave Suite110",Redlands,CA,92373,909-261-1655,34.055557326531,-117.18148861224,1,"5 E Citrus Ave",Redlands,CA,"San Bernardino County",92373
"All About Me",,"212 Wash Ave Suite100",Towson,MD,21204,"(410) 828-8929",39.407551,-76.609024764706,1,"212 Wash Ave",Towson,MD,"Baltimore County",21204
"All Dolled Up","Eufora semi exclusive","410 South Milwaukee Street",Plymouth,WI,53073,920-893-3655,43.740327191919,-87.981139949495,1,"410 S Milwaukee St",Plymouth,WI,"Sheboygan County",53073
"All Things Beautiful","Eufora semi exclusive","49 West Main Street","East Islip",NY,11730,631-446-4747,40.730758666667,-73.192920444444,1,"49 W Main St","East Islip",NY,"Suffolk County",11730
"Allison J at Lucid Salon","Eufora semi exclusive","570 N Schmale Rd","Carol Stream",IL,60188,630-549-5529,41.906232469388,-88.101214306122,1,"570 N Schmale Rd","Carol Stream",IL,"DuPage County",60188
"Allure Hair Studio","Eufora exclusive","2230 W 8Th St",Erie,PA,16505,814-459-1155,42.10523127027,-80.144141216216,1,"2230 W 8th St",Erie,PA,"Erie County",16505
Allusions,"Eufora semi exclusive","724 New Loudon Road",Latham,NY,12110,518-786-8286,42.7673569,-73.7538889,1,"724 New Loudon Rd",Latham,NY,"Albany County",12110
"Alo Me Salon","Eufora exclusive","271 Scranton Carbon Ave","Dickson City",PA,18508,570-906-4923,41.463118,-75.629099,0.33," ","Dickson City",PA,"Lackawanna County",18519
"Alter Ego","Eufora semi exclusive","505 Jericho Turnpike",Syosset,NY,11791,516-921-1100,40.871880428572,-73.156476734693,1,"505 Jericho Tpke",Woodbury,NY,"Nassau County",11797
"Alura Llc Salon And Spa",,"1228 Eqypt Rd",Oaks,PA,19456,484-831-5436,40.13177,-75.45963,0.33," ",Oaks,PA,"Montgomery County",19456
Ambiance,,"211 Main St",Charlestown,MA,2129,617-886-5080,42.375744,-71.064737,1,"211 Main St",Charlestown,MA,"Suffolk County",02129
"Ambiance Salon","Eufora semi exclusive","1777 Monte Vista Avenue",Claremont,CA,91711,909-625-5535,34.117825887097,-117.69843801613,1,"1777 Monte Vista Ave",Claremont,CA,"Los Angeles County",91711
"Ambridge Rose Spa And Salon","Eufora semi exclusive","3344 West 26Th Street",Erie,PA,16506,814-836-9898,42.084334666667,-80.147674416667,1,"3344 W 26th St",Erie,PA,"Erie County",16506
"Ambushed Salon","Eufora exclusive","16 W Poplar St",Columbus,OH,43215,614-824-2067,39.975155833333,-83.012368833333,1,"16 W Poplar St",Columbus,OH,"Franklin County",43215
"American Male","Hero for Men","1271 Route 22 East",Lebanon,NJ,8833,908.236.9903,40.635369,-74.829976,0.33," ",Lebanon,NJ,"Hunterdon County",08833
"American Male","Hero for Men","10 Waterloo Avenue",Berwyn,PA,19312,610.296.9474,40.046557176471,-75.442552882353,1,"10 Waterloo Ave",Berwyn,PA,"Chester County",19312
"American Male","Hero for Men","320 Morgantown Road",Reading,PA,19611,610.376.1300,40.320485,-75.926401,1,"320 Morgantown Rd",Reading,PA,"Berks County",19611
"American Male","Hero for Men","37 South 16Th Street 2Nd Floor",Philadelphia,PA,19102,215.496.0229,20.904275,-156.373506,0.22," ",Paia,HI,"Maui County",96779
"Amie Marie",,"123 And A Half Boston St",Salem,MA,1970,978-740-9290,42.635443,-70.879123,0.33," ",Salem,MA,"Essex County",01971
"Amore Hair Studio","Eufora exclusive","950 Laramie Blvd",Boulder,CO,80304,303-443-2080,40.065911451613,-105.28475648387,1,"950 Laramie Blvd",Boulder,CO,"Boulder County",80304
"Amy Billingsley",,"319 Harrison Street",Midland,MI,48640,989-486-9026,43.622117449664,-84.234777100671,1,"319 Harrison St",Midland,MI,"Midland County",48640
Anasa,"Eufora semi exclusive","27536 Ynez Rd",Temecula,CA,92591,951-506-6331,33.506336288889,-117.15013266667,1,"27536 Ynez Rd",Temecula,CA,"Riverside County",92591
"Anasa Hair Studio","Eufora semi exclusive","9913 Pines Blvd","Pembroke Pines",FL,33024,954-404-8650,26.008329657895,-80.279714473684,1,"9913 Pines Blvd",Hollywood,FL,"Broward County",33024
"Anasa Lake Elsinore","Eufora semi exclusive","265 San Jacinto Road","Lake Elsinore",CA,92530,951-245-1555,33.662810040816,-117.30188610204,1,"265 San Jacinto Rd","Lake Elsinore",CA,"Riverside County",92530
"Andre Richard Salon",,"1218 Locust Street",Philadelphia,PA,19107,215-735-1590,39.9477516,-75.1608658,1,"1218 Locust St",Philadelphia,PA,"Philadelphia County",19107
"Angela Lewis",,"4025 W 75Th Ave",Westminster,CO,80030,720-220-6622,39.832724489796,-105.04171763265,1,"4025 W 75th Ave",Westminster,CO,"Adams County",80030
"Angelina Pyle At Hair Depot",,"5431 Monroe St",Toledo,OH,43623,567-322-7722,41.705971933333,-83.664415,1,"5431 Monroe St",Toledo,OH,"Lucas County",43606
"Anita M Hair Studio","Eufora semi exclusive","7 Upper Holland Rd",Holland,PA,18966,267-988-4101,40.172887,-74.992669,0.3," ",Holland,PA,"Bucks County",18966
"Anita M Hair Studio",,"7 Upper Holland Road",Richboro,PA,18954,"(267) 988-4101",40.208898833333,-75.008544527778,0.8,"7 Upper Holland Rd",Richboro,PA,"Bucks County",18954
"Anne Bellas Salon And Spa","Eufora exclusive","817 New York Ave",Sheboygan,WI,53081,920-457-2995,43.751978020408,-87.714336204082,1,"817 New York Ave",Sheboygan,WI,"Sheboygan County",53081
"Another Look Hair Institue",,"1020 E Saginaw St",Lansing,MI,48906,517-484-5062,42.740881956522,-84.537278043478,1,"1020 E Saginaw St",Lansing,MI,"Ingham County",48906
"Anthony David Salon",,"120 Cambridge Street",Burlington,MA,1803,781-272-0002,42.50049375,-71.1945735,1,"120 Cambridge St",Burlington,MA,"Middlesex County",01803
"Appearance Day Spa",,"2585 South Road",Poughkeepsie,NY,12601,845-473-4404,41.656305148148,-73.930660851852,1,"2585 South Rd",Poughkeepsie,NY,"Dutchess County",12601
"Appearances Salon And Day Spa","Eufora exclusive","2003 North James Street",Rome,NY,13440,315-337-3430,40.813884,-73.938498,0.33," ","New York",NY,"New York County",10037
"Applause Salon and Spa","Eufora semi exclusive","7246 E 1st Street",Scottsdale,AZ,85251,480-949-5911,33.492223061224,-111.92527577551,1,"7246 E 1st St",Scottsdale,AZ,"Maricopa County",85251
"April And Co",,"2963 Main Street",Glastonbury,CT,6033,860-657-2420,41.724232190476,-72.615175095238,1,"2963 Main St",Glastonbury,CT,"Hartford County",06033
"Arezzo Salon And Day Spa","Eufora semi exclusive","7730 Rancho Sante Fe Rd",Carlsbad,CA,92009,760-634-2700,33.07995644898,-117.23769140816,1,"7730 Rancho Sante Fe Rd",Carlsbad,CA,"San Diego County",92009
"Artistic Hair Studio","Eufora exclusive","32467 Temecula Pkwy Bldg F102 Suite 10",Temecula,CA,92592,951-302-4800,33.752886,-116.055617,0.33," ",Temecula,CA,"Riverside County",92593
"Artistry In Hair","Eufora exclusive","18585 Monterey Rd","Morgan Hill",CA,95037,408-779-2985,37.144013645161,-121.66558019355,1,"18585 Monterey Rd",Morganhill,CA,"Santa Clara County",95037
"Ascensin Salon And Spa","Eufora semi exclusive","101 Old Solomons Island Rd",Annapolis,MD,21401,410-897-0922,38.976818,-76.538324,1,"101 Old Solomons Island Rd",Annapolis,MD,"Anne Arundel County",21401
"Ashlyn Jamesyn Salon","Eufora semi exclusive","916 4th Ave East",Olympia,WA,98506,360-480-3736,47.045668836735,-122.89020267347,1,"916 4th Ave E",Olympia,WA,"Thurston County",98506
"Asparations Salon And Day Spa","Eufora semi exclusive","204 South 1St Ave",Marshalltown,IA,50158,641-753-4095,42.046640204082,-92.911297306122,1,"204 S 1st Ave",Marshalltown,IA,"Marshall County",50158
"Aspen Grove Salon And Spa","Eufora semi exclusive","821 B Park St","Castle Rock",CO,80109,303-663-4772,39.374779,-104.849988,0.33," ","Castle Rock",CO,"Douglas County",80104
"At Last Hair Hair Color Studio","Eufora semi exclusive","1059 Millmont Street",Charlottesville,VA,22903,"(434) 295-6633",38.051234631214,-78.505522869443,1,"1059 Millmont St",Charlottesville,VA,"Charlottesville city",22903
Atelier,"Eufora semi exclusive","1625 Postal Rd",Chester,MD,21619,"(410) 643-4180",38.974493,-76.283786,1,"1625 Postal Rd",Chester,MD,"Queen Anne's County",21619
"Athena Salon Spa And Wellness","Eufora exclusive","7791 Highland Meadows Pkwy",Windsor,CO,80528,970-223-0273,40.464092,-104.885116,0.33," ",Windsor,CO,"Weld County",80551
"Athenas Hair Studio",,"34 Kinderkamack Road",Oradell,NJ,7649,"(201) 483-3805",40.943338944444,-74.029294833333,1,"34 Kinderkamack Rd",Oradell,NJ,"Bergen County",07649
"Atrium Salon and Spa",,"0 Profile Circle",Nashua,NH,3063,603-594-4100,42.78038,-71.497063,1," Profile Cir",Nashua,NH,"Hillsborough County",03063
Attitudes,"Eufora exclusive","5687 Bay Road",Saginaw,MI,48604,989-737-3500,43.491909099338,-83.973767284768,1,"5687 Bay Rd",Saginaw,MI,"Saginaw County",48604
"Attitudes Salon","Eufora semi exclusive","32 Millcreek Dr Suite 105",Charlottesville,VA,22902,"(434) 979-2889",38.00123436975,-78.496098133074,1,"32 Mill Creek Dr",Charlottesville,VA,"Charlottesville city",22902
"Augusta Place Salon","Eufora semi exclusive","2241 Augusta Road",Greenville,SC,29605,964-241-4003,34.823559944444,-82.39262,1,"2241 Augusta Rd",Greenville,SC,"Greenville County",29605
"Aura Salon And Spa",,"43 Bloomfield Avenue",Caldwell,NJ,7006,"(973) 228-2229",40.835209,-74.264070666667,1,"43 Bloomfield Ave",Caldwell,NJ,"Essex County",07006
"Aurelia Salon Spa","Eufora semi exclusive","317 B East Diamond Street",Gaithersburg,MD,20877,301-926-7897,39.143736,-77.216228,0.33," ",Gaithersburg,MD,"Montgomery County",20899
"Aurora Salon","Eufora semi exclusive","1555 Main Street",Tewksbury,MA,1896,978-851-0001,42.5981578,-71.2182908,1,"1555 Main St",Tewksbury,MA,"Middlesex County",01876
"Avant Day Spa",,"4800 Mills Civic Pkwy","West Des Moines",IA,50265,"(515) 223-5883",41.5592785,-93.77000075,1,"4800 Mills Civic Pkwy","West Des Moines",IA,"Polk County",50265
"Avanti Day Resort","Eufora semi exclusive","345 Route 9 South",Manalapan,NJ,7726,732-780-0222,40.282353,-74.346565,0.27," ",Manalapan,NJ,"Monmouth County",07726
"Avis Creations","Eufora exclusive","3265 E 146th St",Cleveland,OH,44120,216-752-4623,41.46717443038,-81.579829696203,1,"3265 E 146th St",Cleveland,OH,"Cuyahoga County",44120
"Ayjere  Salon","Eufora exclusive","1345 The Alameda","San Jose",CA,95126,408-297-4247,37.332648979592,-121.91344346939,1,"1345 The Alameda","San Jose",CA,"Santa Clara County",95126
"Azalea Salon","Eufora semi exclusive","24452 A Del Prado","Dana Point",CA,92629,949-248-3406,33.485903,-117.696366,0.33," ","Dana Point",CA,"Orange County",92629
"Azenza Salon","Eufora semi exclusive","130 West 14 Mile Road",Birmingham,MI,48009,248-594-6600,42.5316157,-83.213955463333,0.8,"130 W 14 Mile Rd",Birmingham,MI,"Oakland County",48009
"B Beautiful",,"424 5Th Ave",Brookings,SD,57006,"(605) 864-1480",44.300804795918,-96.798204428571,1,"424 5th Ave",Brookings,SD,"Brookings County",57006
"B Spa and Salon","Eufora semi exclusive","1031 Boston Post Rd",Rye,NY,10580,914-921-0880,40.979826454545,-73.684189818182,1,"1031 Boston Post Rd",Rye,NY,"Westchester County",10580
"Bab And Co","Eufora Exclusive","12528 N Gray Rd",Carmel,IN,46033,317-844-8885,39.969291479167,-86.089435020833,1,"12528 N Gray Rd",Carmel,IN,"Hamilton County",46033
"Backstage Salon And Spa","Eufora semi exclusive","225 Turnpike Rd",Rowley,NH,1969,978-948-7772,,,0,,,,,
"Backstreet Salon",,"106 Church Street",Roseville,CA,95678,916-771-3226,38.750926367347,-121.28633322449,1,"106 Church St",Roseville,CA,"Placer County",95678
"Bang  A Salon",,"111 East 16Th Street",Indianapolis,IN,46202,"(317) 426-3664",39.788434714286,-86.155239428571,1,"111 E 16th St",Indianapolis,IN,"Marion County",46202
Bangz,,"8435 University Blvd",Clive,IA,50325,"(515) 556-6322",41.605475161616,-93.735649272727,1,"8435 University Blvd",Clive,IA,"Polk County",50325
"Barberella Beauty Lounge","Eufora exclusive","2442 San Pablo Avenue",Berkeley,CA,94702,510-548-3552,37.8623343,-122.2900388,1,"2442 San Pablo Ave",Berkeley,CA,"Alameda County",94702
"Basics Salon",,"3542 N Southport",Chicago,IL,60657,773-296-1818,41.883073,-87.629149,0.33," ",Chicago,IL,"Cook County",60602
"Bath Hair",,"99 Commercial St",Bath,ME,4530,207-443-2266,43.914235658537,-69.813351634146,1,"99 Commercial St",Bath,ME,"Sagadahoc County",04530
"Be styled Hair Studio","Eufora exclusive","212 Mill Street",Edinboro,PA,16412,814-460-1988,41.87435877193,-80.133305701754,1,"212 Mill St",Edinboro,PA,"Erie County",16412
"Beauty By K Tang","Eufora exclusive","15785 Force Ave Ne","Cedar Springs",MI,49319,269-598-7291,43.253822919598,-85.382100572864,1,"15785 Force Ave NE","Cedar Springs",MI,"Kent County",49319
"Beauty By Veronica",,"7440 E 6Th Avenue",Scottsdale,AZ,85251,480-874-8889,33.498908714286,-111.92060497959,1,"7440 E 6th Ave",Scottsdale,AZ,"Maricopa County",85251
"Beauty Concepts and Day Spa","Eufora semi exclusive","1987 Old Princeton Rd",Bluefield,WV,24701,304-237-9592,37.253515923077,-81.221854769231,1,"1987 Old Princeton Rd",Bluefield,WV,"Mercer County",24701
"Becky Bannister",,"Po Box 206",Erie,PA,16426,814-449-0606,20.904275,-156.373506,0.22," ",Paia,HI,"Maui County",96779
"Bedford and Main Salon","Eufora semi exclusive","305 Bedford Ave",Bellmore,NY,11710,516-221-5253,40.667760568627,-73.52687472549,1,"305 Bedford Ave",Bellmore,NY,"Nassau County",11710
"Beehive Salon","Eufora semi exclusive","368 George St",Excelsior,MN,55331,"(952) 470-6168",44.9011905,-93.568753875,1,"368 George St",Excelsior,MN,"Hennepin County",55331
"Belissimo Salon And Spa","Eufora semi exclusive","6939 Pine Arbor Dr","Cottage Grove",MN,55016,651-768-0829,44.848967316327,-92.951897428571,0.8,"6939 Pine Arbor Dr","Cottage Grove",MN,"Washington County",55016
"Bell Amore Salon","Eufora semi exclusive","15377 Hall Rd",Macomb,MI,48044,586-799-4093,42.627840944444,-82.971824444444,1,"15377 Hall Rd",Macomb,MI,"Macomb County",48044
"Bella Bella Salon And Boutique","Eufora exclusive","339 N El Camino Real",Encinitas,CA,92024,760-943-7311,33.052035916667,-117.26092120833,1,"339 N El Camino Real",Encinitas,CA,"San Diego County",92024
"Bella Bliss Salon","Eufora semi exclusive","12745 SW Walker Rd Suite 200",Beaverton,OR,97005,503-643-6039,45.501835437838,-122.8070129027,1,"12745 SW Walker Rd",Beaverton,OR,"Washington County",97005
"Bella Dora Salon And Spa","Eufora semi exclusive","2386 Faraday Ave",Carlsbad,CA,92009,760-438-7404,33.13534477551,-117.27582193878,1,"2386 Faraday Ave",Carlsbad,CA,"San Diego County",92008
"Bella Hair","Eufora semi exclusive","507 Burroughs St Suite 111",Morgantown,WVA,26505,204-599-2088,,,0,,,,,
"Bella Hair Studio",,"272 Essex St",Salem,MA,1970,978-745-0717,42.5214384,-70.896969,1,"272 Essex St",Salem,MA,"Essex County",01970
"Bella Mia Salon And Day Spa","Eufora semi exclusive","101 E Darlington Rd",Syracuse,NY,13208,315-455-7003,43.076416,-76.109995,0.33," ",Syracuse,NY,"Onondaga County",13206
"Bella Salon And Day Spa",,"41 West Main St",Northeast,PA,16428,814-725-6767,42.176845,-79.841991,0.22," ","North East",PA,"Erie County",16428
"Bella Salon And Spa","Eufora exclusive","933 Anderson Drive Suite L","Green Bay",WI,54304,920-491-2474,44.485237535714,-88.069537428571,1,"933 Anderson Dr","Green Bay",WI,"Brown County",54304
"Bella Scott","Eufora exclusive","404 East Main Street",Spartanburg,SC,29302,864-707-2070,34.95106475,-81.925221,1,"404 E Main St",Spartanburg,SC,"Spartanburg County",29302
"Bella Via Salon","Eufora semi exclusive","69 Mayo Road",Edgewater,MD,21037,301-205-0923,38.934338125,-76.557668875,1,"69 Mayo Rd",Edgewater,MD,"Anne Arundel County",21037
"Bella Vita Salon","Eufora semi exclusive","6750 W Frontage Road Suite 408",Medford,MN,55049,507-451-3500,44.160283,-93.246471,0.33," ",Medford,MN,"Steele County",55049
"Belladonna Salon And Spa","Eufora exclusive","6244 28Th St Se","Grand Rapids",MI,49546,616-957-4247,42.913101444444,-85.513708,1,"6244 28th St SE","Grand Rapids",MI,"Kent County",49546
"Belle Tresor Studio","Eufora exclusive","5436 Southpointe Plaza Way",Fredericksburg,VA,22407,540-898-4384,38.231065350403,-77.502588295529,1,"5436 Southpoint Plaza Way",Fredericksburg,VA,"Fredericksburg city",22407
"Belleza Beauty Salon","Eufora semi exclusive","8 Glen Rd Suite 25","West Lebanon",NH,3784,603-298-7630,43.633815214286,-72.312679571429,0.8,"8 Glen Rd","West Lebanon",NH,"Grafton County",03784
"Belleza Of Hanover",,"45 Lyme Rd",Hanover,NH,3755,603-643-4993,43.720167333333,-72.272667666667,1,"45 Lyme Rd",Hanover,NH,"Grafton County",03755
"Bellisimo Salon",,"1033 E Grand Avenue","Arroyo Grande",CA,93420,805-270-0170,35.120152890411,-120.59856369863,1,"1033 E Grand Ave","Arroyo Grande",CA,"San Luis Obispo County",93420
"Bello Cristo Salon","Eufora exclusive","1410 Industrial Park Ave",Redlands,CA,92374,909-792-7412,34.064485460432,-117.20767696403,1,"1410 Industrial Park Ave",Redlands,CA,"San Bernardino County",92374
"Bello Lei Salon","Eufora semi exclusive","131 W Beech Street",Fallbrook,CA,92028,760-723-9361,33.378451,-117.252504,1,"131 W Beech St",Fallbrook,CA,"San Diego County",92028
"Bello Salon","Eufora semi exclusive","3600 Lime St Suite 115",Riverside,CA,92501,951-276-1475,33.981358,-117.370314,1,"3600 Lime St",Riverside,CA,"Riverside County",92501
"Belmora Salon And Spa",,"1213 W Fletcher Avenue",Tampa,FL,33612,"813 908-6900",28.064868,-82.828145500002,0.8,"1213 W Fletcher Ave",Tampa,FL,"Hillsborough County",33618
"Beya Hair Studio",,"8734 Lee Vista Blvd Ste 500",Orlando,FL,32829,"407 810-4262",28.465956317406,-81.319481061433,1,"8734 Lee Vista Blvd",Orlando,FL,"Orange County",32822
"Beyond Hair",,"1047 Grandview Road","Oil City",PA,16301,814-758-1146,41.448868,-79.6766645,1,"1047 Grandview Rd","Oil City",PA,"Venango County",16301
"Bijou Salon And Spa","Eufora semi exclusive","6 Jordan Street",Skaneateles,NY,13152,315-685-1300,42.9464322,-76.4291872,1,"6 Jordan St",Skaneateles,NY,"Onondaga County",13152
"Bitonti Salon","Eufora semi exclusive","555 South Old Woodward",Birmingham,MI,48009,248-647-2555,42.604425,-83.292382,0.33," ",Birmingham,MI,"Oakland County",48012
"Black Rabbit Salon","Eufora semi exclusive","2720 Woodburn Ave",Cincinnati,OH,45206,513-407-8067,39.1288052,-84.477257,1,"2720 Woodburn Ave",Cincinnati,OH,"Hamilton County",45206
"Blades Hair Design Studio",,"8481 Bash St",Indianapolis,IN,46250,"(317) 577-7944",39.9118325,-86.0467227,1,"8481 Bash St",Indianapolis,IN,"Marion County",46250
"Bliss The Salon","Eufora semi exclusive","5931 N Oracle Rd",Tucson,AZ,85704,"(520) 690-9000",32.3124394,-110.9781886,1,"5931 N Oracle Rd",Tucson,AZ,"Pima County",85704
Blondies,"Eufora semi exclusive","426 Sutton Way","Grass Valley",CA,95945,530-273-8288,39.231405848886,-121.03581000888,1,"426 Sutton Way","Grass Valley",CA,"Nevada County",95945
Bloom,"Eufora semi exclusive","835 Tara Plz",Papillion,MN,68046,"(402) 884-5595",,,0,,,,,
"Blue Salon","Eufora semi exclusive","1170 Wells Ave",Reno,NV,89502,775-392-4555,39.514514857143,-119.80316642857,1,"1170 Wells Ave",Reno,NV,"Washoe County",89502
"Bob Roy Salon","Eufora semi exclusive","327 Manhattan Beach Blvd","Manhattan Beach",CA,90266,310-545-2500,33.879583869565,-118.40807221739,1,"327 Manhattan Beach Blvd","Manhattan Beach",CA,"Los Angeles County",90266
"Bobby Pins And Blush","Eufora semi exclusive","1711 B Princess Anne St",Fredericksburg,VA,22401,540-623-6337,38.333966906977,-77.452734813953,1,"1711 B Princess Anne St",Falmouth,VA,"Stafford County",22405
"Body Spa West Jill Ann Reardon","Eufora exclusive","8751 West Charleston Blvd","Las Vegas",NV,89117,702-466-2830,36.159043102041,-115.28580767347,1,"8751 W Charleston Blvd","Las Vegas",NV,"Clark County",89117
"Bombshell Salon And Boutique",,"4707  B Schley Avenue  Suite 311","Braddock Heights",MD,21714,240-490-5031,39.419295,-77.504419,0.33," ","Braddock Heights",MD,"Frederick County",21714
"Bon Cheveux Salon","Eufora semi exclusive","35 S Shore Rd",Marmora,NJ,8223,609-390-0758,39.263026888889,-74.649097888889,1,"35 S Shore Rd",Marmora,NJ,"Cape May County",08223
"Bondi Blonde Hair Studio",,"11942 Iron Bridge Plaza",Chester,VA,23831,804-454-1626,37.35168220498,-77.484947011493,1,"11942 Iron Bridge Plz",Chester,VA,"Chesterfield County",23831
"Bonney Dunn",,"1222 South Hills Drive",Wenatchee,WA,98801,509-663-1261,47.402781918367,-120.33031269388,1,"1222 S Hills Dr",Wenatchee,WA,"Chelan County",98801
"Box Office Hair Llc","Eufora semi exclusive","2305 Edgewater Drive Ste B",Orlando,FL,32804,"407 254-4480",28.572586888889,-81.389462555556,1,"2305 Edgewater Dr",Orlando,FL,"Orange County",32804
"Box Office Hair Wintersprings","Eufora semi exclusive","156 Tuskawila Rd","Winter Springs",FL,33618,"813 264-7711",28.696721,-81.262487,1,"156 Tuskawila Rd","Winter Springs",FL,"Seminole County",32708
"Brad Reed Salon","Eufora exclusive","1212 Van Vhorris Rd Suite3",Morgantown,WVA,26505,"(304) 598-8008",,,0,,,,,
"Bravadas Inc",,"13293 N Hammerstone Lane","Oro Valley",AZ,85755,"(402) 397-2524",32.446966846154,-110.93839288462,1,"13293 N Hammerstone Ln","Oro Valley",AZ,,85755
